word,mse_small_child,mse_medium_child,mse_small_medium
applesauce,0.0830659763687671,0.0802767121172281,0.0001487755270591
bad,0.2463589847804605,0.25882447607387,0.0021748600985288
beans,0.2561336051168584,0.222112338789906,0.0015972813147028
bedroom,0.2438522294922986,0.2832645487195184,0.0041730515578928
break,0.2900669880124717,0.2896871641373419,5.957935126752441e-06
butter,0.2520951872409281,0.2702857838289438,0.0004812036599509
carry,0.2505525428992771,0.2922103901687911,0.0065545121081352
catch,0.1677136862463766,0.2894170678502193,0.0225984314789275
climb,0.2775760859684713,0.2852920163873571,0.0003081150339837
coffee,0.3057983476564671,0.249095065050426,0.0052674548396836
comb,0.1861300912410581,0.1927717701009252,0.0059408183381263
crib,0.2198617490223075,0.1988756230189565,0.0051957298505626
do,0.2564632500012483,0.2564632500012483,0.0
draw,0.2805809441757741,0.2806045019895929,1.08038691169301e-07
dress,0.1629802050480118,0.1585504508219209,0.0090519499656514
drive,0.2245836680231084,0.2877188749004699,0.00822089849669
fast,0.2845395370384762,0.2967004893329365,0.0024457576249308
garbage,0.2452468407160941,0.1346438017831996,0.0242680512206292
give,0.2956617830833589,0.2956617830833589,0.0
hamburger,0.1022218054998907,0.0942745249931407,0.0003238261512879
heavy,0.2098157162997812,0.283008260769325,0.0108530344850308
here,0.2698477675458698,0.2736395170710455,0.0003038618095726
hold,0.2117737124572157,0.2826033196055079,0.0109592785833913
knife,0.2343626290453093,0.2829022489095451,0.0041978973629449
like,0.3125305021936537,0.3125305021936537,4.6648806823681597e-33
lips,0.2294269276877769,0.2722462615554997,0.0057808018546423
little,0.300347241769621,0.3009055580450488,1.4700432359791647e-05
motorcycle,0.1649066287862804,0.2120692143387031,0.0112648424315548
now,0.2845056338320096,0.2845056338320096,5.071251900633867e-33
peas,0.1860305382706824,0.2088618542609121,0.0038760098245797
present,0.2051761682562984,0.2992602921239757,0.01644289833097
refrigerator,0.3069169548581522,0.286073560988148,0.0083217687577333
sandwich,0.3459221098654961,0.1648224175225242,0.0515697370160056
shorts,0.2614645837469985,0.1691547895926804,0.015638484613917
sink,0.19456940502603,0.1787959799397843,0.0036673775479193
sleepy,0.1087701412975772,0.207021208764386,0.0203506848336135
snow,0.2625796720883206,0.2360915104707934,0.0023938778403814
splash,0.2991699489494281,0.2012038863976279,0.0206524573393849
squirrel,0.2967474735086836,0.2325221885544252,0.0260123487591841
this,0.2237106956907839,0.2237106956907839,0.0
tractor,0.1146453614191217,0.1590589993513707,0.0162064544432354
where,0.2744949165955854,0.2771013104785226,0.0001778439172634
window,0.2158503945001926,0.2624457540858744,0.0044779338046415
zipper,0.1286849747843473,0.1622427182576959,0.0118175286865306
watch,0.2771607421174804,0.2765697182250272,2.96820650633787e-05
alligator,0.1148254068383116,0.1030370821838626,0.0021435894527403
